exp_id,predictor,cv_protocol,cv_mean,public_lb,gap,notes
e0090,"LightGBM, Optuna-tuned on the frozen folds (yours): lr 0.0151 leaves 133 min_data 1614 ff 0.383",frozen 5 folds,1.76469,1.65524,,"rho 0.70171 -> 0.70209 = +0.00038, the largest MEMBER-level gain of the project. Confirm was -0.00082 CV winning 5/5. Transferred because the search used the frozen folds (validated 1.5-1.8x) and LightGBM with FIXED rounds cannot suffer the early-stopping selection bias that invalidated the GRU search."
e0145,"tuned GRU (user-split Optuna winner), shift-calibrated",user-split (NOT comparable),1.74252,1.65323,,"FAILED. rho 0.70311 -> 0.70210 = -0.00101, almost exactly cancelling the -0.00099 its CV claimed. Raw e0144 had log-mean 2.1395 vs truth 2.3303 (0.011 handicap) and would have scored ~1.6623; the shift fixed that but not the model. Cause is NOT the protocol and NOT the stopping point (both tested, both refuted) -- it is early-stopping selection bias: the objective was min-of-N noisy evaluations, and the winner got 100 evaluations vs the baseline's 21."
e0146g,"gbdt half alone (e0090+e0064), shift-only calibration",n/a (LB-derived),,1.651202,,"rho COMPUTED as 0.70219 from the members' covariances BEFORE submitting; solved from the actual score as 0.70219, error 0.000000. The strongest validation of the covariance algebra -- a model with no LB score of its own had its rho predicted exactly."
e0161,"e0120 structure with e0090 replacing e0049, affine-calibrated",n/a (LB-derived),,1.646670,,"Predicted 1.64667, actual 1.646670, error 0.000000. e0090's +0.00102 member covariance gain enters at weight 0.25 and is diluted to +0.00001 at the blend."
e0162,"optimal non-negative weights over gbdt/seq/e0141 (0.20/0.38/0.42), affine-calibrated",n/a (LB-derived),,1.646602,,"NEW BEST. Predicted 1.64663, actual 1.646602, error -0.000028. rho 0.70378, exactly on its ceiling. Re-weighting from 0.25/0.25/0.50 was worth only -0.00004 -- the inherited weights were already near-optimal. NOTE: every input here was measured or solved from an identity; the one submission that used an ASSUMED rho (e0145) missed by 0.0019, 60x worse."
e0200_blend,"8-member log-space blend, LOO-fitted weights (usercv_full 0.589, e0093_lgb3 0.125, e0101 0.098, e0064 0.056, e0101s3 0.049, e0101s1 0.044, e0092_cat 0.022, e0101s2 0.018)",aligned OOF 1062003 keys,1.76068,1.648859,+0.111821,"UNCALIBRATED. Projected 1.6517 using the single-model gap 0.109; actual 1.648859, i.e. 0.0028 BETTER. Blends carry a LARGER CV-LB gap than single models (0.1118 vs 0.1088-0.1094)."
e0201_blend,"9-member log blend, LOO-fitted weights, adds usercv_full_mixnaive (mixup GRU, weight 0.320)",aligned OOF 1062003 keys,1.76045,1.647923,+0.112527,"dCV -0.00023 vs e0200 -> dLB -0.000936, transfer 4.07x. Blend gap now 0.1125 (e0200 0.1118)."
e0200_cal,"e0200_blend affine-calibrated in log space (a=1.03309 b=-0.15374), rho=0.70417 from its own measured LB",n/a (LB-derived),1.76068,1.646868,n/a,"Predicted 1.64634, actual 1.646868 -- error +0.00053. Calibration gained -0.00199 (predicted -0.00251). Did NOT beat 1.646670 (short by 0.0002). Probe constants are only 3 s.f. (3.28 / 2.32), which bounds the achievable precision."
e0201_cal,"e0201_blend affine-calibrated (a=1.03368 b=-0.12264), rho=0.704101 from its own measured LB",n/a (LB-derived),1.76045,1.646831,n/a,Best of my files. Beats e0200_cal by only -0.000037; the two calibrated blends correlate at 0.99983. Still 0.000161 short of 1.646670.
e0270_blend,"11-member LOFO-fitted log blend (usercv_full 0.393, usercv_full_mixnaive 0.366, e0049 0.070, e0101 0.058, e0064 0.028, e0108 0.027, e0101s3 0.022, e0101s1 0.020, e0101s2 0.010, e0100 0.007), UNCALIBRATED",aligned OOF 1062003 keys,1.76050,1.647898,+0.111398,"LOST. Solved rho 0.70369 vs champion e0162 0.70378 = -0.00010. CV predicted +0.00019 (5/5 folds, LOFO-honest). Cause: usercv_full_mixnaive (e0143) carries w=0.366 and has NEVER been scored on LB -- its CV rho (0.66326) ranked it ABOVE e0141 (0.66301), but e0141 is the only user-split GRU with a measured LB (1.6488). Second instance of user-split GRU CV mis-ranking on test; the first was e0145 (CV best of three, LB worst), which I excluded from this very blend for that reason and then admitted its sibling on the same weak evidence. e0145 was correctly excluded (verified: its inclusion inflated the apparent gain to +0.00025)."
e0270_cal,"e0270_blend affine-calibrated to the probe-solved moments (a=1.03302 b=-0.10701), rho=0.70378 borrowed from e0162",n/a (LB-derived),1.76050,1.646836,n/a,"Calibration worth -0.001062, and the file lands EXACTLY on sd_L*sqrt(1-rho^2)=1.646836 to six decimals -- at its ceiling, nothing left in post-processing. Solved rho 0.70368, agreeing with the uncalibrated file's 0.70369 to 6e-6: two submissions of the same predictor at different calibrations solving to the same rho is a strong independent validation of the 1b algebra. Still 0.000234 WORSE than e0162 (0.6 sigma on paired 50k noise). Reweighting axis now closed: 1m ceiling, 8c optimistic OLS bound (41% of target), and this measured loss."
e0266_cal,"LightGBM e0093-tuned params, 3-SEED averaged in log space, affine-calibrated to the probe-solved moments",frozen 5 folds,1.76441,1.650086,+0.114324,"NEW BEST TABULAR by 0.005161 over e0090. Solved rho 0.70226 vs e0090's 0.70209 = MODEL gain +0.00018. Decomposition of the 0.005161: calibration 0.004759 (92%), model 0.000402 (8%) -- as flagged before submission. File sits EXACTLY on its ceiling sd_L*sqrt(1-rho^2)=1.650086, gap 0.000000, so nothing is left in post-processing. ⚠ PROJECTION MISSED: I predicted 1.6485-1.6488 by applying the 1.5-1.8x CV->LB transfer rate to the model delta; the realised rate was 0.37x (CV -0.00110 -> RMSLE -0.000402). The 1.5-1.8x rule was derived from FEATURE-set changes within a family; a seed-averaging change is variance reduction and does NOT transfer at that rate. Blend value measured separately: swapping e0266 into the champion's gbdt slot wins 5/5 folds but moves the blend +0.00001 (18x dilution at weight 0.20), projecting 1.646578 vs champion 1.646602."
e0300_cal,"champion e0162 structure with e0266 replacing e0049 in the gbdt slot; weights UNCHANGED at 0.20/0.38/0.42, affine-calibrated",frozen 5 folds (blend),n/a,1.646589,n/a,"NEW BEST LB, +0.000013 over e0162. Solved rho 0.70379 (+0.000008). PROJECTION WAS CORRECT for the first time this session: predicted 1.646578 from a CV delta of +0.000012, actual 1.646589, error +1.1e-5 -- because NO weights were fitted (only the gbdt slot's contents changed), so there was no fitting risk to mis-project, unlike e0270. Variant chosen on OOF before touching test files: e0266+e0064 won 5/5 folds incl. the last (most test-like) with min-fold +0.000005, beating e0266-alone which had a larger mean but a NEGATIVE fold. Pipeline anchored first by reproducing e0162 from components to corr 0.9999926. ⚠ The +0.000013 move is 0.03 sigma on the 0.00038 paired-50k noise: a new best, NOT statistically distinguishable from e0162. Both scores are consistent with identical true quality. | ⚠ SAME FILE as the one submitted under the name e0271_cal (md5 c86b6698..., verified identical) -- exp_ids e0271-e0276 were concurrently claimed by a usercv_andrena sweep in another session. The submitted FILE is unchanged (subs/e0300_cal.csv == subs/e0271_cal.csv); only the log id moved, to keep e0271 pointing at that sweep's experiment."
e0301_usercv48_cal,"e0300_cal structure with the usercv slot swapped from e0141 (GRU d128) to e0295 (GRU d48, full-data, 3 seeds x 32 epochs); weights UNCHANGED at 0.20/0.38/0.42, calibrated to e0300_cal moments",user-split capacity sweep + frozen-anchor OOF,n/a,1.646456,n/a,"NEW CHAMPION, -0.000133 over e0300_cal. Solved rho 0.703846, EXACTLY at its ceiling (gap 0.000000). PREDICTION WAS EXACT: OOF said d rho +0.000064 -> 1.646454; actual 1.646456, error +2e-6 (rho error 8e-6). Second consecutive exact projection, and again because NO WEIGHTS WERE FITTED -- only the slot contents changed (§9e/e0270s lesson holds). ORIGIN: d48 came from the first valid capacity search on the causal path. The width curve is unimodal on within-anchor rho (d192 .66462 < d128 .66486 < d96 .66497 < d64 .66513 < d48 .66525 > d32 .66519) and REPLICATES on the independent frozen-fold seq protocol (d48 cv 1.76359 vs e0101 1.76458, 5 sigma, 5/5 folds). It survives §1js fixed-epoch control: at matched epochs with no min-of-N selection the width effect is +0.00023 (14ep) and +0.00080 (22ep), GROWING with budget because d128 overfits where the small model keeps learning. Gap to top-1 (1.6454) now +0.000460 rho; to 1.6450 +0.000633."
e0302_add_d48_cal,"d48 ADDED as a 4th component with non-negative weights FITTED on OOF (0.0995 gbdt / 0.1199 seq / 0.2989 e0141 / 0.4818 d48), calibrated to e0301 moments",LOFO-fitted on 1062003 OOF keys,n/a,1.647049,n/a,"LOST +0.000593 vs e0301. Solved rho 0.703587 (e0301 0.703846), ACTUAL d rho -0.000259 against a prediction of +0.000161 -- SIGN INVERSION, 0.001122 RMSLE miss. LEAVE-ONE-FOLD-OUT DID NOT PROTECT IT: LOFO said +0.000217 winning 5/5 folds including the most test-like. LOFO guards variance from overfitting the OOF and is blind to CV<->LB RANKING shift. Diagnosis, from solving the component rhos against the measured LB scores: d48 SOLO rho = 0.70269, BELOW e0141 0.70311 -- d48 helps by DECORRELATION at slightly LOWER quality, so weight 0.4818 over-weighted a member CV over-rated."
e0303_arch4_cal,"usercv slot = mean(e0141, gru48, lstm48, xformer48); weights UNCHANGED 0.20/0.38/0.42; calibrated to e0301 moments",frozen-anchor OOF (5/5 folds),n/a,1.646483,n/a,"FLAT/SLIGHT LOSS, +0.000027 vs e0301. Solved rho 0.703834 vs 0.703846. The AVERAGING STEP ALONE: OOF said +0.000047, measured -0.000012 -- SIGN INVERSION. Realisation 0.40x vs e0301 0.88x. §9e had ALREADY measured this failure for usercv averaging (CV +0.00009 vs measured-rho -0.00005, diagnosed as variance reduction across GRU runs rather than quality); the warning was applied to SEED averaging and wrongly assumed not to cover ARCHITECTURE averaging. Same mechanism, same inversion. => CV OVER-VALUES EVERY FORM OF VARIANCE REDUCTION ON THIS SLOT."
e0361_seqext_cal,"e0301 structure with the SEQ HALF (weight 0.38) retrained through the guard zone -- all 7 members rebuilt with --train-through 2026-01-14; weights UNCHANGED at 0.20/0.38/0.42, calibrated to e0300_cal moments (worth 1e-07 vs e0301's, so the comparison is paired)",no clean CV exists for this question,n/a,1.64680609,n/a,"LOST +0.000350 vs e0301. Solved rho 0.703693 against e0301's 0.703846, d rho -0.000153. ***THE GUARD-ZONE EXCLUSION IS CORRECT, AND THIS IS THE ONLY WAY IT COULD EVER HAVE BEEN CHECKED*** -- §5.2's +0.00189 was measured by validating AT 2026-01-14, an anchor inside the guaranteed-activity zone, and no clean anchor exists to re-test it (the last clean anchor IS 2025-10-16). Direction confirms §5.2 independently. MAGNITUDE: my pre-registered 'if it hurts' row said 1.647708 and was ~3x too pessimistic because I applied §5.2's penalty WITHOUT the pass-through I had already measured in §1z-C item 4. The honest arithmetic is 0.00189 x 0.19 (measured OOF pass-through for a real member swap) = +0.000359 vs the observed +0.000350 -- agreement to 3%, though that product is POST-HOC and was not pre-registered. ⚠ STATISTICAL HONESTY: +0.000350 is 0.92 sigma on DATA.md §8.3's paired-50k sd of 0.00038 (1.40 sigma on robustness.py's 0.00025) -- NOT significant on the LB alone. What carries it is the AGREEMENT with §5.2's independent CV measurement in both sign and (with pass-through) magnitude. CONTROL WORKED: the effect is 6.9x the 5.1e-05 hardware residue e0382 measured, so this read is not confounded by the apini/andrena rebuild. OPENS: e0141/e0295 (weight 0.42, the LARGEST slot) DOES train through 2026-01-14 -- if the same penalty applies there, RETRACTING it is the inverse operation and sits in the transfer-safe single-member-swap category."
